Stats	Cluster	Marker	Method	p_val_adj
0.3893512	4: Mast	GAPDH	FindMarkers	5.23E-72
0.722711225	4: Mast	SRP14	FindMarkers	7.24E-72
0.982922307	4: Mast	NR4A1	FindMarkers	3.41E-68
0.308170191	4: Mast	RPL34	FindMarkers	6.63E-68
0.432707657	4: Mast	DUSP1	FindMarkers	2.42E-67
1.110489185	4: Mast	SQSTM1	FindMarkers	2.86E-67
0.916200851	4: Mast	EMP3	FindMarkers	8.01E-66
0.859042411	4: Mast	BEX4	FindMarkers	8.49E-63
0.620017265	4: Mast	HSPA8	FindMarkers	4.36E-60
0.872214725	4: Mast	BTG2	FindMarkers	2.09E-59
1.113662716	4: Mast	ASAH1	FindMarkers	4.60E-58
0.621601967	4: Mast	ARPC3	FindMarkers	2.72E-57
1.011407355	4: Mast	PPP1R15A	FindMarkers	6.08E-56
0.903593504	4: Mast	SERPINB6	FindMarkers	6.48E-56
0.295959923	4: Mast	RPS7	FindMarkers	3.25E-50
0.8965339	4: Mast	GNPTAB	FindMarkers	1.52E-45
0.802699836	4: Mast	SKP1	FindMarkers	1.05E-44
0.283182665	4: Mast	KRT10	FindMarkers	1.73E-43
0.441884628	4: Mast	CD83	FindMarkers	2.71E-43
0.994466279	4: Mast	PRDX6	FindMarkers	3.98E-43
0.273296811	4: Mast	RPL39	FindMarkers	8.13E-43
1.632281661	4: Mast	TUBA1A	FindMarkers	8.11E-42
1.070237709	4: Mast	NEAT1	FindMarkers	1.85E-41
0.891641649	4: Mast	PRDX1	FindMarkers	3.27E-39
0.254495095	4: Mast	TSTD1	FindMarkers	4.85E-37
0.316817616	4: Mast	NDUFA3	FindMarkers	8.14E-36
0.931246535	4: Mast	PEBP1	FindMarkers	1.05E-35
0.254304687	4: Mast	ATP5PD	FindMarkers	2.43E-35
0.958001893	4: Mast	ATP6V1F	FindMarkers	3.38E-35
